stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
RG048,RG048,,,-53.798154,-67.748888,,,0,,,0
RG030,RG030,,,-53.79586,-67.688956,,,0,,,0
RG062,RG062,,,-53.795474,-67.777008,,,0,,,0
RG116,RG116,,,-53.782189,-67.700286,,,0,,,0
RG240,RG240,,,-53.768503,-67.721679,,,0,,,0
RG251,RG251,,,-53.768424,-67.716181,,,0,,,0
RG259,RG259,,,-53.781672,-67.710119,,,0,,,0
RG350,RG350,,,-53.794108,-67.716926,,,0,,,0
RG406,RG406,,,-53.742036,-67.761548,,,0,,,0
RG409,RG409,,,-53.742315,-67.76092,,,0,,,0
RG028,RG028,,,-53.808472,-67.684633,,,0,,,0
RG113,RG113,,,-53.785685,-67.711519,,,0,,,0
RG222,RG222,,,-53.794637,-67.688591,,,0,,,0
RG281,RG281,,,-53.800955,-67.663105,,,0,,,0
RG309,RG309,,,-53.769058,-67.72456,,,0,,,0
RG322,RG322,,,-53.794361,-67.701825,,,0,,,0
RG118,RG118,,,-53.786829,-67.700093,,,0,,,0
RG249,RG249,,,-53.765361,-67.7158,,,0,,,0
RG274,RG274,,,-53.808181,-67.684407,,,0,,,0
RG036,RG036,,,-53.782867,-67.697818,,,0,,,0
RG139,RG139,,,-53.806686,-67.661984,,,0,,,0
RG277,RG277,,,-53.806207,-67.67134,,,0,,,0
RG308,RG308,,,-53.767121,-67.724045,,,0,,,0
RG017,RG017,,,-53.810706,-67.666281,,,0,,,0
RG252,RG252,,,-53.769867,-67.713252,,,0,,,0
RG257,RG257,,,-53.775557,-67.710387,,,0,,,0
RG338,RG338,,,-53.796361,-67.722173,,,0,,,0
RG385,RG385,,,-53.772264,-67.735922,,,0,,,0
RG057,RG057,,,-53.796405,-67.754005,,,0,,,0
RG060,RG060,,,-53.789377,-67.767497,,,0,,,0
RG125,RG125,,,-53.808776,-67.68482,,,0,,,0
RG324,RG324,,,-53.79573,-67.706509,,,0,,,0
RG121,RG121,,,-53.790961,-67.69203,,,0,,,0
RG208,RG208,,,-53.800755,-67.66355,,,0,,,0
RG353,RG353,,,-53.793763,-67.713069,,,0,,,0
RG114,RG114,,,-53.78307,-67.707732,,,0,,,0
RG140,RG140,,,-53.805907,-67.661362,,,0,,,0
RG244,RG244,,,-53.763947,-67.730155,,,0,,,0
RG278,RG278,,,-53.804576,-67.667563,,,0,,,0
RG375,RG375,,,-53.766439,-67.728782,,,0,,,0
RG408,RG408,,,-53.724932,-67.799195,,,0,,,0
RG056,RG056,,,-53.797188,-67.755083,,,0,,,0
RG120,RG120,,,-53.789462,-67.694916,,,0,,,0
RG254,RG254,,,-53.771734,-67.70955,,,0,,,0
RG105,RG105,,,-53.788629,-67.749451,,,0,,,0
RG110,RG110,,,-53.786975,-67.72427,,,0,,,0
RG301,RG301,,,-53.772283,-67.732987,,,0,,,0
RG383,RG383,,,-53.771024,-67.738212,,,0,,,0
RG235,RG235,,,-53.772707,-67.710537,,,0,,,0
RG330,RG330,,,-53.793528,-67.722704,,,0,,,0
RG504,RG504,,,-53.794121,-67.781437,,,0,,,0
RG310,RG310,,,-53.773256,-67.725917,,,0,,,0
RG320,RG320,,,-53.791186,-67.697099,,,0,,,0
RG014,RG014,,,-53.806838,-67.662145,,,0,,,0
RG124,RG124,,,-53.797492,-67.689165,,,0,,,0
RG127,RG127,,,-53.814294,-67.681628,,,0,,,0
RG130,RG130,,,-53.813901,-67.674258,,,0,,,0
RG223,RG223,,,-53.791551,-67.690877,,,0,,,0
RG250,RG250,,,-53.766737,-67.716004,,,0,,,0
RG403,RG403,,,-53.760649,-67.721647,,,0,,,0
RG043,RG043,,,-53.784686,-67.718525,,,0,,,0
RG059,RG059,,,-53.789101,-67.766633,,,0,,,0
RG300,RG300,,,-53.774058,-67.730847,,,0,,,0
RG370,RG370,,,-53.778125,-67.716744,,,0,,,0
RG006,RG006,,,-53.803635,-67.654012,,,0,,,0
RG055,RG055,,,-53.799117,-67.757905,,,0,,,0
RG063,RG063,,,-53.788375,-67.771386,,,0,,,0
RG202,RG202,,,-53.805301,-67.658899,,,0,,,0
RG231,RG231,,,-53.781704,-67.709727,,,0,,,0
RG010,RG010,,,-53.805181,-67.652392,,,0,,,0
RG027,RG027,,,-53.811348,-67.683222,,,0,,,0
RG204,RG204,,,-53.803065,-67.657301,,,0,,,0
RG216,RG216,,,-53.805964,-67.679772,,,0,,,0
RG302,RG302,,,-53.770184,-67.737166,,,0,,,0
RG001,RG001,,,-53.803239,-67.661785,,,0,,,0
RG376,RG376,,,-53.768443,-67.729447,,,0,,,0
RG276,RG276,,,-53.806014,-67.675213,,,0,,,0
RG328,RG328,,,-53.791345,-67.717474,,,0,,,0
RG503,RG503,,,-53.79528,-67.782532,,,0,,,0
RG500,RG500,,,-53.796849,-67.779816,,,0,,,0
RG505,RG505,,,-53.794878,-67.778481,,,0,,,0
RG040,RG040,,,-53.782563,-67.709373,,,0,,,0
RG137,RG137,,,-53.808748,-67.66332,,,0,,,0
RG201,RG201,,,-53.804997,-67.660423,,,0,,,0
RG215,RG215,,,-53.80603,-67.673834,,,0,,,0
RG332,RG332,,,-53.792837,-67.728503,,,0,,,0
RG359,RG359,,,-53.796079,-67.7002,,,0,,,0
RG007,RG007,,,-53.804237,-67.651797,,,0,,,0
RG284,RG284,,,-53.800746,-67.657242,,,0,,,0
RG351,RG351,,,-53.794916,-67.714786,,,0,,,0
RG405,RG405,,,-53.747106,-67.7451,,,0,,,0
RG015,RG015,,,-53.808618,-67.663277,,,0,,,0
RG100,RG100,,,-53.786591,-67.769047,,,0,,,0
RG331,RG331,,,-53.792156,-67.725375,,,0,,,0
RG363,RG363,,,-53.793652,-67.69277,,,0,,,0
RG401,RG401,,,-53.762273,-67.722226,,,0,,,0
RG024,RG024,,,-53.815032,-67.678394,,,0,,,0
RG415,RG415,,,-53.766696,-67.726384,,,0,,,0
